category,difficulty,question,option1,option2,option3,option4,answer,explanation
Computer,Easy,What does CPU stand for?,Central Processing Unit,Computer Processing Unit,Central Program Unit,Computer Program Unit,A,CPU is the main processor that executes instructions
Computer,Easy,What is the binary equivalent of decimal 10?,1001,1010,1100,1101,B,10 in decimal equals 1010 in binary
Computer,Easy,Which company created Windows?,Apple,Microsoft,Google,IBM,B,Microsoft developed Windows operating system
Computer,Easy,What does RAM stand for?,Read Access Memory,Random Access Memory,Rapid Access Memory,Remote Access Memory,B,RAM provides temporary storage for running programs
Computer,Easy,Which key combination copies text in Windows?,Ctrl+C,Ctrl+V,Ctrl+X,Ctrl+Z,A,Ctrl+C copies selected text to clipboard
Computer,Easy,What is a byte?,8 bits,16 bits,32 bits,64 bits,A,One byte consists of 8 binary digits (bits)
Computer,Easy,Which programming language is named after a snake?,Java,Python,C++,Ruby,B,Python is named after Monty Python's Flying Circus
Computer,Easy,What does WWW stand for?,World Wide Web,World Web Window,Wide World Web,Web Wide World,A,WWW refers to the system of interlinked documents
Computer,Easy,Which device is used to point and click?,Keyboard,Mouse,Monitor,Printer,B,Mouse is primary pointing device for computers
Computer,Easy,What is the main circuit board in a computer called?,Motherboard,Fatherboard,Mainboard,Baseboard,A,Motherboard connects all computer components together
Computer,Medium,What is the time complexity of binary search?,O(1),O(log n),O(n),O(n²),B,Binary search eliminates half the elements each step
Computer,Medium,Which protocol is used for secure web browsing?,HTTP,HTTPS,FTP,SMTP,B,HTTPS encrypts data transmission between browser and server
Computer,Medium,What does SQL stand for?,Structured Query Language,Simple Query Language,Standard Query Language,System Query Language,A,SQL is used to manage relational databases
Computer,Medium,Which data structure uses LIFO principle?,Queue,Stack,Array,Tree,B,Stack follows Last In First Out principle
Computer,Medium,What is the maximum value of an 8-bit unsigned integer?,127,255,256,511,B,8 bits can represent 0-255 (2^8 - 1)
Computer,Medium,Which sorting algorithm has best average time complexity?,Bubble Sort,Insertion Sort,Merge Sort,Selection Sort,C,Merge Sort has O(n log n) average time complexity
Computer,Medium,What does API stand for?,Application Programming Interface,Advanced Programming Interface,Automated Programming Interface,Applied Programming Interface,A,APIs define how software components communicate
Computer,Medium,Which database model uses tables?,Hierarchical,Network,Relational,Object-oriented,C,Relational databases organize data in tables
Computer,Medium,What is the default port for HTTP?,21,22,80,443,C,HTTP uses port 80 for web server communication
Computer,Medium,Which language is primarily used for web styling?,HTML,CSS,JavaScript,PHP,B,CSS (Cascading Style Sheets) styles web page appearance
Computer,Hard,What is the space complexity of merge sort?,O(1),O(log n),O(n),O(n log n),C,Merge sort requires O(n) additional space for merging
Computer,Hard,Which consistency model allows reading uncommitted data?,Strict,Sequential,Causal,Eventual,D,Eventual consistency may return stale uncommitted data
Computer,Hard,What is the maximum number of comparisons in quicksort worst case?,O(log n),O(n),O(n log n),O(n²),D,Quicksort worst case occurs with already sorted input
Computer,Hard,Which cache replacement policy approximates optimal?,LRU,FIFO,Random,Clock,A,LRU (Least Recently Used) approximates optimal replacement
Computer,Hard,What is the Byzantine Generals Problem about?,Network routing,Distributed consensus,Load balancing,Data encryption,B,Problem of achieving consensus with unreliable communication
Computer,Hard,Which data structure supports range queries efficiently?,Array,Linked List,Segment Tree,Hash Table,C,Segment trees enable O(log n) range queries
Computer,Hard,What is the CAP theorem?,Consistency Availability Partition tolerance,Concurrency Atomicity Persistence,Cache Algorithm Protocol,Central Access Point,A,CAP theorem: can't have all three simultaneously
Computer,Hard,Which algorithm finds shortest paths from single source?,Dijkstra's,Floyd-Warshall,Bellman-Ford,Kruskal's,A,Dijkstra's algorithm finds shortest paths from one vertex
Computer,Hard,What is the halting problem?,Undecidable problem,NP-complete problem,P problem,Co-NP problem,A,Cannot determine if arbitrary program will halt
Computer,Hard,Which protocol ensures reliable data delivery?,UDP,TCP,ICMP,ARP,B,TCP provides reliable connection-oriented communication
Artificial Intelligence,Easy,What does AI stand for?,Automated Intelligence,Artificial Intelligence,Advanced Intelligence,Applied Intelligence,B,AI refers to machine intelligence mimicking human cognition
Artificial Intelligence,Easy,Which test measures machine intelligence?,Turing Test,IQ Test,Stanford Test,MIT Test,A,Turing Test evaluates if machine can exhibit intelligent behavior
Artificial Intelligence,Easy,What is machine learning?,Programming explicit rules,Learning from data,Copying human behavior,Following algorithms,B,ML enables computers to learn patterns from data
Artificial Intelligence,Easy,Which company created ChatGPT?,Google,Microsoft,OpenAI,Meta,C,OpenAI developed ChatGPT as conversational AI system
Artificial Intelligence,Easy,What does NLP stand for?,Natural Language Processing,Neural Language Programming,Network Language Protocol,New Language Platform,A,NLP enables computers to understand human language
Artificial Intelligence,Easy,Which is an example of supervised learning?,Clustering,Classification,Reinforcement learning,Unsupervised learning,B,Classification uses labeled data to predict categories
Artificial Intelligence,Easy,What is a neural network inspired by?,Computer circuits,Brain neurons,Mathematical equations,Logic gates,B,Neural networks mimic biological neuron connections
Artificial Intelligence,Easy,Which AI can beat humans at chess?,Deep Blue,AlphaGo,Watson,Siri,A,IBM's Deep Blue defeated world champion Garry Kasparov
Artificial Intelligence,Easy,What is computer vision?,Understanding text,Recognizing images,Processing speech,Playing games,B,Computer vision enables machines to interpret visual information
Artificial Intelligence,Easy,Which learning requires no labeled data?,Supervised,Unsupervised,Semi-supervised,Reinforcement,B,Unsupervised learning finds patterns in unlabeled data
Artificial Intelligence,Easy,What is an AI chatbot?,Gaming AI,Conversational AI,Image recognition AI,Self-driving AI,B,Chatbots simulate human conversation through text or voice
Artificial Intelligence,Medium,What is deep learning based on?,Decision trees,Neural networks,Rule-based systems,Expert systems,B,Deep learning uses multi-layered neural networks
Artificial Intelligence,Medium,Which algorithm is used for reinforcement learning?,Q-learning,K-means,Linear regression,Decision trees,A,Q-learning learns optimal actions through trial and error
Artificial Intelligence,Medium,What is overfitting in machine learning?,Model performs well on training data only,Model performs poorly,Model is too simple,Model has no bias,A,Overfitting memorizes training data but fails on new data
Artificial Intelligence,Medium,Which technique reduces overfitting?,Regularization,Feature scaling,Data augmentation,Cross-validation,A,Regularization adds penalty terms to prevent overfitting
Artificial Intelligence,Medium,What is the vanishing gradient problem?,Gradients become too large,Gradients become too small,No gradients computed,Gradients oscillate,B,Deep networks suffer from diminishing gradient signals
Artificial Intelligence,Medium,Which AI defeated Go world champion?,Deep Blue,AlphaGo,Watson,Stockfish,B,Google's AlphaGo beat Lee Sedol in 2016
Artificial Intelligence,Medium,What is transfer learning?,Learning multiple tasks,Transferring knowledge between tasks,Learning without data,Transferring models,B,Transfer learning applies knowledge from one domain to another
Artificial Intelligence,Medium,Which activation function helps with vanishing gradients?,Sigmoid,Tanh,ReLU,Softmax,C,ReLU activation function mitigates vanishing gradient problem
Artificial Intelligence,Medium,What is ensemble learning?,Using single model,Combining multiple models,Learning ensembles,Model averaging,B,Ensemble methods combine predictions from multiple models
Artificial Intelligence,Medium,Which metric measures classification accuracy?,Mean squared error,Precision and recall,R-squared,Mean absolute error,B,Precision and recall evaluate classification performance
Artificial Intelligence,Hard,What is the attention mechanism in transformers?,Focusing on important parts,Paying attention to inputs,Weighting input importance,All of the above,D,Attention weighs importance of different input parts
Artificial Intelligence,Hard,Which optimization algorithm adapts learning rates?,SGD,Adam,Momentum,RMSprop,B,Adam combines momentum and adaptive learning rates
Artificial Intelligence,Hard,What is the transformer architecture based on?,CNNs,RNNs,Attention mechanism,Autoencoders,C,Transformers rely entirely on attention mechanisms
Artificial Intelligence,Hard,Which technique generates adversarial examples?,Data augmentation,Feature engineering,Gradient ascent on loss,Random noise,C,Adversarial examples crafted by maximizing loss function
Artificial Intelligence,Hard,What is catastrophic forgetting?,Forgetting old tasks when learning new ones,Complete memory loss,Forgetting during training,Model corruption,A,Neural networks forget previous tasks when learning new ones
Artificial Intelligence,Hard,Which method explains AI model decisions?,LIME,SHAP,Grad-CAM,All of the above,D,Multiple methods exist for explainable AI
Artificial Intelligence,Hard,What is the reparameterization trick used for?,Gradient computation,Sampling from distributions,Model compression,Regularization,B,Enables gradient flow through stochastic nodes
Artificial Intelligence,Hard,Which architecture introduced residual connections?,VGG,ResNet,AlexNet,LeNet,B,ResNet introduced skip connections to enable deeper networks
Artificial Intelligence,Hard,What is the difference between GPT and BERT?,Autoregressive vs bidirectional,CNN vs RNN,Supervised vs unsupervised,Small vs large,A,GPT generates sequentially BERT processes bidirectionally
Artificial Intelligence,Hard,Which sampling method reduces variance in RL?,Importance sampling,Monte Carlo,Temporal difference,Policy gradient,A,Importance sampling corrects for distribution mismatch
Sports,Easy,How many players are on a basketball team on the court?,4,5,6,7,B,Basketball teams have 5 players on court at once
Sports,Easy,Which sport is played at Wimbledon?,Golf,Cricket,Tennis,Rugby,C,Wimbledon is famous tennis championship in England
Sports,Easy,How many holes are played in a standard golf round?,16,18,20,22,B,Standard golf course has 18 holes
Sports,Easy,Which country hosted the 2016 Summer Olympics?,China,Brazil,Russia,Japan,B,Rio de Janeiro Brazil hosted 2016 Olympics
Sports,Easy,What is the maximum score in ten-pin bowling?,200,250,300,350,C,Perfect game in bowling scores 300 points
Sports,Easy,How long is a marathon race?,26.2 miles,24.2 miles,28.2 miles,30.2 miles,A,Marathon distance is 26.2 miles or 42.195 kilometers
Sports,Easy,Which sport uses a puck?,Hockey,Soccer,Basketball,Baseball,A,Ice hockey and field hockey use pucks
Sports,Easy,How many Grand Slam tournaments are in tennis?,3,4,5,6,B,Four Grand Slams: Wimbledon US Open French Open Australian Open
Sports,Easy,What color card means ejection in soccer?,Yellow,Red,Blue,Green,B,Red card results in player ejection from game
Sports,Easy,Which sport is known as America's pastime?,Football,Baseball,Basketball,Hockey,B,Baseball traditionally called America's national pastime
Sports,Medium,Who holds the record for most home runs in MLB?,Babe Ruth,Hank Aaron,Barry Bonds,Willie Mays,C,Barry Bonds hit 762 career home runs
Sports,Medium,Which country has won the most FIFA World Cups?,Germany,Argentina,Italy,Brazil,D,Brazil has won 5 FIFA World Cup titles
Sports,Medium,What is the term for three strikes in bowling?,Turkey,Spare,Split,Strike,A,Turkey refers to three consecutive strikes
Sports,Medium,Which swimmer has the most Olympic gold medals?,Mark Spitz,Michael Phelps,Ryan Lochte,Caeleb Dressel,B,Michael Phelps won 23 Olympic gold medals
Sports,Medium,What is the highest possible break in snooker?,147,155,167,180,A,Maximum break is 147 points in snooker
Sports,Medium,Which team sport has the largest playing field?,Soccer,American football,Rugby,Cricket,A,Soccer fields are largest among major team sports
Sports,Medium,How many majors has Tiger Woods won?,14,15,16,17,B,Tiger Woods has won 15 major championships
Sports,Medium,Which sport features the terms birdie and eagle?,Golf,Tennis,Badminton,Archery,A,Golf scoring terms for under par shots
Sports,Medium,What is the NHL trophy for best player?,Hart Trophy,Vezina Trophy,Norris Trophy,Calder Trophy,A,Hart Trophy awarded to league's most valuable player
Sports,Medium,Which racing series features the Indianapolis 500?,NASCAR,Formula 1,IndyCar,Formula E,C,Indianapolis 500 is premier IndyCar Series race
Sports,Hard,Who was the first athlete to run sub-4-minute mile?,Roger Bannister,Jim Ryun,Sebastian Coe,Steve Ovett,A,Bannister broke 4-minute barrier in 1954
Sports,Hard,Which boxer was known as The Greatest?,Joe Frazier,George Foreman,Muhammad Ali,Mike Tyson,C,Muhammad Ali called himself The Greatest
Sports,Hard,What is the Fosbury Flop?,Swimming technique,High jump technique,Pole vault technique,Long jump technique,B,Revolutionary backwards high jump technique
Sports,Hard,Which team has won the most Stanley Cups?,Boston Bruins,Detroit Red Wings,Montreal Canadiens,Toronto Maple Leafs,C,Montreal Canadiens have 24 Stanley Cup wins
Sports,Hard,Who holds the NBA record for most points in a game?,Kobe Bryant,Michael Jordan,Wilt Chamberlain,LeBron James,C,Wilt Chamberlain scored 100 points in 1962
Sports,Hard,What is a perfect game in baseball?,No hits allowed,No runs allowed,No walks allowed,No baserunners allowed,D,Perfect game means no opposing player reaches base
Sports,Hard,Which gymnast scored the first perfect 10?,Olga Korbut,Nadia Comaneci,Mary Lou Retton,Shannon Miller,B,Nadia Comaneci scored perfect 10 at 1976 Olympics
Sports,Hard,What is the rarest achievement in golf?,Hole-in-one,Albatross,Condor,Ostrich,C,Condor is four under par extremely rare
Sports,Hard,Which Formula 1 driver has the most wins?,Lewis Hamilton,Michael Schumacher,Ayrton Senna,Sebastian Vettel,A,Lewis Hamilton has over 100 race victories
Sports,Hard,What is a hat trick in cricket?,Three wickets in three balls,Three centuries,Three catches,Three sixes,A,Bowler taking three wickets in consecutive deliveries
Aptitude,Easy,If 2 + 2 = 4 then 4 + 4 = ?,6,8,10,12,B,Following the same addition pattern
Aptitude,Easy,What comes next in the sequence: 2 4 6 8 ?,10,12,14,16,A,Sequence increases by 2 each time
Aptitude,Easy,If A = 1 B = 2 then C = ?,3,4,5,6,A,Alphabetical position pattern continues
Aptitude,Easy,What is 25% of 100?,20,25,30,35,B,25% means 25 out of 100
Aptitude,Easy,Which number is the odd one out: 2 4 7 8?,2,4,7,8,C,7 is the only odd number
Aptitude,Easy,If today is Monday what day is it after 3 days?,Tuesday,Wednesday,Thursday,Friday,C,Monday + 3 days = Thursday
Aptitude,Easy,What is the next number: 1 1 2 3 5 ?,7,8,9,10,B,Fibonacci sequence: each number is sum of previous two
Aptitude,Easy,How many sides does a pentagon have?,4,5,6,7,B,Pentagon has 5 sides by definition
Aptitude,Easy,If x + 5 = 10 then x = ?,3,4,5,6,C,10 - 5 = 5
Aptitude,Easy,What is half of 50?,20,25,30,35,B,50 divided by 2 equals 25
Aptitude,Medium,What is the missing number: 3 6 12 24 ?,36,48,60,72,B,Each number doubles: 24 × 2 = 48
Aptitude,Medium,If BAT = 23120 what does CAT equal?,32120,31320,31230,32130,C,B=2 A=1 T=20 so C=3 A=1 T=20
Aptitude,Medium,A train travels 60 km in 1 hour. How far in 2.5 hours?,120 km,150 km,180 km,200 km,B,60 km/h × 2.5 h = 150 km
Aptitude,Medium,What is 15% of 240?,30,36,42,48,B,240 × 0.15 = 36
Aptitude,Medium,If 3x + 7 = 22 then x = ?,4,5,6,7,B,3x = 15 so x = 5
Aptitude,Medium,What comes next: 1 4 9 16 25 ?,30,36,42,49,B,Perfect squares: next is 6² = 36
Aptitude,Medium,A person buys item for $80 sells for $100. What's profit %?,20%,25%,30%,35%,B,Profit = 20 Cost = 80 so 20/80 = 25%
Aptitude,Medium,Which is different: Circle Triangle Square Pentagon?,Circle,Triangle,Square,Pentagon,A,Circle has no straight sides others do
Aptitude,Medium,If PEACE = 54135 then CAPE = ?,3154,3145,3415,3451,C,P=5 E=4 A=1 C=3 so CAPE = 3154
Aptitude,Medium,Water tank fills in 4 hours empties in 6 hours. Net fill time?,12 hours,10 hours,8 hours,6 hours,A,Rate difference: 1/4 - 1/6 = 1/12 per hour
Aptitude,Hard,If log₂(8) = 3 then log₄(16) = ?,2,3,4,5,A,log₄(16) = log₄(4²) = 2
Aptitude,Hard,What is the next term: 2 6 12 20 30 ?,42,45,48,50,A,Differences: 4 6 8 10 next difference is 12
Aptitude,Hard,If 5^x = 125 then x = ?,2,3,4,5,B,125 = 5³ so x = 3
Aptitude,Hard,A rectangle's length is twice its width. Perimeter is 36. Width?,6,8,10,12,A,2w + 2(2w) = 36 so 6w = 36 w = 6
Aptitude,Hard,What is sum of angles in a hexagon?,540°,720°,900°,1080°,B,(n-2) × 180° where n=6 gives 720°
Aptitude,Hard,If f(x) = x² + 2x then f(3) = ?,12,15,18,21,B,f(3) = 9 + 6 = 15
Aptitude,Hard,Compound interest on $1000 at 10% for 2 years?,200,210,220,231,B,$1000(1.1)² - $1000 = $210
Aptitude,Hard,What is the geometric mean of 4 and 9?,5,6,6.5,7,B,√(4 × 9) = √36 = 6
Aptitude,Hard,If matrix A = [1 2; 3 4] what is det(A)?,-2,-1,1,2,A,Determinant = 1×4 - 2×3 = -2
Aptitude,Hard,Probability of getting sum 7 with two dice?,1/6,1/5,1/4,1/3,A,6 ways to get sum 7 out of 36 total outcomes
Iconic Figures,Easy,Who painted the ceiling of the Sistine Chapel?,Leonardo da Vinci,Michelangelo,Raphael,Donatello,B,Michelangelo painted famous ceiling frescoes 1508-1512
Iconic Figures,Easy,Who wrote the play Hamlet?,Charles Dickens,William Shakespeare,Oscar Wilde,George Bernard Shaw,B,Shakespeare wrote Hamlet around 1600-1601
Iconic Figures,Easy,Who invented the telephone?,Thomas Edison,Alexander Graham Bell,Nikola Tesla,Benjamin Franklin,B,Bell received first telephone patent in 1876
Iconic Figures,Easy,Who was the first person to walk on the moon?,Buzz Aldrin,Neil Armstrong,John Glenn,Alan Shepard,B,Armstrong first stepped on moon July 20 1969
Iconic Figures,Easy,Who developed the theory of relativity?,Isaac Newton,Galileo Galilei,Albert Einstein,Stephen Hawking,C,Einstein developed special and general relativity theories
Iconic Figures,Easy,Who founded Microsoft?,Bill Gates,Steve Jobs,Larry Page,Mark Zuckerberg,A,Gates co-founded Microsoft with Paul Allen in 1975
Iconic Figures,Easy,Who was known as the King of Pop?,Elvis Presley,Michael Jackson,Prince,Madonna,B,Michael Jackson earned title through global music impact
Iconic Figures,Easy,Who founded Apple Inc.?,Bill Gates,Steve Jobs,Larry Ellison,Michael Dell,B,Jobs co-founded Apple with Steve Wozniak in 1976
Iconic Figures,Easy,Who was the first female Prime Minister of the UK?,Margaret Thatcher,Theresa May,Elizabeth II,Golda Meir,A,Thatcher served as PM from 1979-1990
Iconic Figures,Easy,Who discovered penicillin?,Marie Curie,Alexander Fleming,Louis Pasteur,Robert Koch,B,Fleming discovered penicillin in 1928
Iconic Figures,Medium,Who was the longest-reigning British monarch?,Victoria,Elizabeth I,Elizabeth II,George III,C,Elizabeth II reigned 70 years from 1952-2022
Iconic Figures,Medium,Who composed The Four Seasons?,Mozart,Beethoven,Bach,Vivaldi,D,Vivaldi composed famous violin concertos around 1720
Iconic Figures,Medium,Who founded the Red Cross?,Florence Nightingale,Clara Barton,Henry Dunant,Mother Teresa,C,Dunant founded International Red Cross in 1863
Iconic Figures,Medium,Who wrote One Hundred Years of Solitude?,Jorge Luis Borges,Gabriel García Márquez,Mario Vargas Llosa,Pablo Neruda,B,García Márquez wrote masterpiece published in 1967
Iconic Figures,Medium,Who was known as the Iron Chancellor?,Napoleon Bonaparte,Otto von Bismarck,Klemens von Metternich,Frederick the Great,B,Bismarck unified Germany and dominated European politics
Iconic Figures,Medium,Who painted The Starry Night?,Van Gogh,Monet,Picasso,Renoir,A,Van Gogh painted iconic work in 1889
Iconic Figures,Medium,Who established the first psychology laboratory?,Sigmund Freud,Wilhelm Wundt,William James,B.F. Skinner,B,Wundt opened first psychology lab at Leipzig 1879
Iconic Figures,Medium,Who was the first woman to win a Nobel Prize?,Dorothy Hodgkin,Marie Curie,Rosalind Franklin,Barbara McClintock,B,Curie won Physics Nobel in 1903
Iconic Figures,Medium,Who founded psychoanalysis?,Carl Jung,Alfred Adler,Sigmund Freud,Erik Erikson,C,Freud developed psychoanalytic theory in late 1800s
Iconic Figures,Medium,Who wrote Silent Spring?,Rachel Carson,Jane Goodall,Dian Fossey,Sylvia Earle,A,Carson's 1962 book launched environmental movement
Iconic Figures,Hard,Who proved Fermat's Last Theorem?,Leonhard Euler,Carl Friedrich Gauss,Andrew Wiles,Pierre de Fermat,C,Wiles proved theorem in 1995 after 350+ years
Iconic Figures,Hard,Who developed the uncertainty principle?,Niels Bohr,Werner Heisenberg,Erwin Schrödinger,Max Planck,B,Heisenberg formulated uncertainty principle in 1927
Iconic Figures,Hard,Who founded the discipline of sociology?,Auguste Comte,Karl Marx,Max Weber,Emile Durkheim,A,Comte coined term sociology and established foundations
Iconic Figures,Hard,Who created the periodic table?,Dmitri Mendeleev,Antoine Lavoisier,John Dalton,Marie Curie,A,Mendeleev published periodic law in 1869
Iconic Figures,Hard,Who developed set theory?,Georg Cantor,Gottfried Leibniz,Bertrand Russell,David Hilbert,A,Cantor created mathematical set theory in 1870s
Iconic Figures,Hard,Who formulated the laws of heredity?,Charles Darwin,Gregor Mendel,Alfred Russel Wallace,Jean-Baptiste Lamarck,B,Mendel discovered inheritance laws through pea plant experiments
Iconic Figures,Hard,Who invented the World Wide Web?,Tim Berners-Lee,Vint Cerf,Robert Kahn,Marc Andreessen,A,Berners-Lee created WWW at CERN in 1989-1991
Iconic Figures,Hard,Who developed information theory?,Claude Shannon,Alan Turing,John von Neumann,Norbert Wiener,A,Shannon founded information theory in 1948
Iconic Figures,Hard,Who discovered the structure of DNA?,Rosalind Franklin,James Watson,Francis Crick,Maurice Wilkins,A,Franklin's X-ray crystallography was crucial for DNA structure
Iconic Figures,Hard,Who established modern nursing practices?,Clara Barton,Mary Seacole,Florence Nightingale,Dorothea Dix,C,Nightingale revolutionized nursing during Crimean War